Rainfall,Temperature,Humidity,Fertilizer,Pesticide,Crop,Yield
71,28,66,106,21,Wheat,4.24
141,38,86,119,24,Wheat,6.61
246,20,40,97,19,Wheat,7.35
113,34,64,63,16,Wheat,4.27
76,25,85,128,21,Rice,6.13
128,31,89,110,7,Rice,5.96
230,20,59,85,19,Rice,6.84
248,34,83,123,40,Rice,8.25
237,39,93,41,28,Maize,6.47
121,38,57,133,22,Wheat,6.28
215,28,84,128,37,Wheat,8.74
60,39,90,127,21,Rice,5.11
129,39,61,131,24,Rice,5.99
209,35,72,41,37,Rice,5.46
207,18,52,65,26,Maize,5.78
152,31,89,54,38,Wheat,4.49
98,25,50,100,7,Maize,4.42
55,26,78,134,36,Rice,5.49
57,25,89,131,24,Wheat,5.72
176,24,50,123,20,Wheat,7.37
203,20,80,99,18,Maize,7.87
61,40,51,52,29,Rice,2.03
196,40,85,139,12,Rice,8.36
232,36,83,121,10,Wheat,8.54
86,26,42,67,14,Maize,3.57
142,39,54,136,11,Rice,6.7
208,37,76,43,32,Wheat,5.66
201,35,88,90,36,Rice,6.66
166,19,75,105,19,Wheat,7.31
88,27,90,97,16,Maize,5.35
89,38,54,136,39,Wheat,5.25
136,27,83,53,18,Wheat,4.39
118,23,84,80,18,Maize,5.2
179,24,45,56,29,Rice,4.81
212,22,44,104,16,Rice,6.94
80,28,49,106,18,Wheat,4.41
125,26,40,44,24,Maize,3.79
106,39,59,67,16,Rice,3.87
169,29,95,67,19,Wheat,5.65
238,37,89,117,6,Rice,8.54
69,18,94,74,10,Rice,5.09
118,18,88,90,18,Wheat,5.82
92,19,64,89,33,Rice,4.78
233,32,82,89,27,Wheat,7.06
177,30,91,119,12,Wheat,7.3
57,23,44,150,26,Maize,5.53
104,40,65,82,14,Wheat,4.1
194,25,86,143,16,Maize,9.16
95,21,72,40,23,Maize,3.63
102,33,44,144,30,Wheat,5.78
241,23,48,72,29,Rice,7.01
126,26,50,107,38,Rice,5.58
181,23,58,109,38,Wheat,7.13
72,36,84,114,5,Wheat,5.09
138,38,54,104,16,Wheat,5.18
198,36,68,128,37,Rice,7.4
84,29,77,129,15,Maize,5.45
123,19,85,48,7,Rice,5.13
97,19,45,67,33,Wheat,3.37
182,19,87,76,19,Maize,6.6
136,23,85,147,25,Maize,7.59
129,32,92,54,29,Maize,4.35
117,38,52,125,23,Wheat,5.05
245,33,92,91,31,Rice,8.14
84,25,55,145,40,Wheat,5.95
226,30,43,129,29,Wheat,7.44
144,29,49,78,17,Maize,5.08
105,34,81,100,40,Wheat,5.27
178,29,95,84,17,Maize,6.79
70,39,67,48,30,Rice,2.47
171,27,47,63,20,Rice,4.71
86,21,89,63,23,Maize,4.49
195,36,75,113,37,Maize,7.07
224,34,74,147,38,Rice,8.35
199,33,76,54,39,Maize,5.46
187,26,53,116,29,Wheat,6.72
56,38,57,106,15,Maize,3.61
95,36,43,129,36,Maize,5.1
85,25,76,136,40,Maize,5.8
146,23,80,142,8,Rice,7.8
179,22,83,66,36,Rice,5.75
249,35,42,83,7,Wheat,7.01
221,19,77,120,39,Wheat,8.36
165,25,61,83,40,Rice,5.29
80,32,94,119,34,Rice,5.75
61,34,55,51,12,Maize,2.8
72,36,79,44,24,Rice,3.0
198,37,45,61,22,Maize,5.35
65,29,77,137,18,Rice,5.34
115,26,60,41,31,Rice,3.43
124,20,91,101,27,Wheat,6.36
104,23,74,61,19,Wheat,4.35
61,32,88,81,22,Rice,3.79
207,31,45,106,20,Maize,6.58
122,32,60,74,6,Maize,4.71
69,35,49,64,6,Rice,2.8
82,21,70,53,5,Wheat,4.14
174,37,42,138,10,Rice,7.05
185,38,73,107,29,Maize,7.02
237,29,71,135,32,Rice,9.17
69,35,68,99,10,Rice,3.73
179,40,58,70,9,Maize,4.84
138,19,50,89,35,Maize,5.8
132,26,74,60,13,Wheat,4.52
56,33,55,136,8,Maize,4.63
150,24,91,132,40,Wheat,7.35
112,22,91,102,39,Maize,5.88
63,24,76,125,9,Wheat,5.23
111,38,93,141,19,Rice,6.86
107,24,44,104,17,Rice,5.34
230,35,76,84,36,Rice,6.49
237,28,60,91,30,Wheat,6.9
101,33,57,143,39,Rice,5.85
206,23,81,60,17,Rice,6.91
66,26,80,40,6,Rice,2.8
107,25,60,67,15,Maize,4.36
236,39,47,88,19,Rice,6.12
137,30,58,108,36,Rice,5.52
57,30,47,126,5,Rice,4.91
201,34,44,59,25,Wheat,5.02
188,37,54,122,11,Maize,6.6
235,22,44,133,36,Wheat,7.85
161,34,70,47,29,Rice,4.26
227,20,88,75,8,Wheat,7.24
171,40,89,49,25,Maize,5.3
167,30,92,71,35,Wheat,5.39
64,34,79,57,13,Rice,2.96
127,35,61,69,24,Rice,4.37
228,31,88,60,39,Wheat,6.81
168,24,88,51,22,Rice,5.73
198,25,85,143,11,Maize,9.0
135,39,82,128,26,Rice,6.59
51,38,54,91,31,Wheat,2.71
200,29,52,61,37,Maize,5.14
68,40,68,69,29,Rice,2.56
155,33,47,40,9,Maize,4.32
153,20,71,103,38,Maize,6.2
198,31,78,130,31,Wheat,7.73
62,26,91,75,26,Wheat,4.27
103,29,56,117,18,Rice,5.81
170,37,50,55,35,Maize,4.19
150,21,86,43,24,Wheat,5.32
203,22,77,124,25,Wheat,8.31
53,30,59,56,11,Rice,2.75
129,40,91,43,28,Wheat,3.91
196,36,88,102,23,Wheat,7.27
125,23,92,70,40,Maize,5.06
143,40,88,94,37,Wheat,5.34
162,32,50,96,37,Rice,5.61
197,33,86,130,19,Wheat,8.54
173,28,78,48,30,Rice,4.72
110,27,89,42,17,Maize,3.51
167,30,45,120,23,Wheat,6.76
203,36,44,132,24,Rice,7.16
241,22,75,109,30,Wheat,8.64
212,18,63,96,40,Wheat,6.82
223,29,70,123,28,Rice,8.57
207,29,81,69,26,Maize,6.16
63,27,55,55,35,Wheat,2.92
119,29,48,84,40,Maize,3.86
156,38,43,89,37,Maize,4.61
176,32,57,71,15,Maize,5.74
198,27,65,147,18,Rice,8.4
70,35,44,42,27,Wheat,1.56
98,36,90,128,25,Rice,5.59
210,35,92,107,11,Wheat,7.8
130,19,67,97,26,Rice,5.87
247,31,45,137,5,Wheat,8.33
51,39,87,96,6,Wheat,3.98
161,36,78,125,16,Maize,6.94
237,27,74,103,36,Maize,8.24
203,21,85,125,19,Rice,8.64
165,31,66,144,32,Wheat,7.44
115,20,47,83,37,Wheat,4.56
55,24,91,62,29,Maize,3.41
196,22,90,50,16,Wheat,5.77
90,21,76,124,12,Maize,6.22
192,33,85,143,22,Wheat,8.24
247,29,41,46,20,Maize,5.64
76,35,82,79,37,Rice,3.29
57,22,71,87,8,Wheat,4.33
68,26,51,50,20,Rice,2.56
168,38,60,69,17,Wheat,4.61
151,40,66,108,29,Maize,5.72
74,37,73,65,9,Maize,3.01
58,37,77,89,10,Maize,4.05
170,28,41,86,13,Rice,5.3
180,29,67,69,30,Rice,5.16
239,18,60,74,38,Rice,7.34
131,28,62,87,26,Rice,5.43
188,32,66,74,37,Rice,5.83
115,20,79,67,10,Rice,5.15
50,25,94,126,7,Wheat,5.6
87,32,60,138,18,Rice,5.89
148,30,54,121,37,Wheat,6.27
200,19,95,85,18,Rice,7.56
84,36,69,117,24,Rice,4.43
137,31,65,141,27,Wheat,7.12
132,31,90,42,23,Rice,4.57
222,24,53,102,13,Maize,7.6
170,36,86,53,40,Rice,4.61
113,18,95,91,29,Wheat,5.98
236,31,69,80,8,Maize,7.58
57,19,80,149,26,Rice,6.68
232,33,68,101,34,Maize,7.14
99,38,60,108,24,Rice,4.76
210,38,48,100,13,Maize,6.84
114,25,84,126,16,Wheat,6.51
96,32,80,58,30,Rice,3.35
70,36,77,59,33,Maize,2.68
248,21,61,115,7,Wheat,8.48
211,40,80,40,12,Maize,5.21
202,35,56,100,16,Wheat,6.15
185,36,81,104,33,Rice,6.65
217,31,74,87,24,Rice,6.97
98,31,88,101,12,Maize,5.73
146,24,60,88,13,Rice,5.45
66,38,90,98,17,Maize,3.91
188,30,85,84,5,Maize,6.64
249,38,84,51,37,Rice,6.52
246,25,64,130,27,Wheat,8.59
226,32,59,121,22,Wheat,8.0
210,21,57,140,23,Maize,8.39
133,34,72,115,19,Rice,6.44
240,26,49,105,15,Rice,7.25
100,39,48,78,32,Maize,3.64
204,38,41,132,7,Wheat,6.91
130,26,51,74,5,Maize,4.83
150,38,88,134,29,Maize,7.29
87,38,93,146,22,Maize,5.82
122,38,77,69,38,Maize,4.1
221,32,80,102,27,Maize,7.61
106,39,75,72,28,Maize,3.95
205,22,46,107,5,Rice,7.75
68,27,57,131,39,Maize,4.85
175,28,88,77,9,Wheat,6.7
233,29,77,104,35,Rice,7.45
118,20,50,84,8,Wheat,4.54
156,27,90,89,10,Maize,6.06
79,27,76,76,39,Maize,3.85
67,26,88,68,17,Maize,4.39
194,30,71,61,8,Rice,5.5
98,30,73,148,26,Rice,6.73
228,20,81,137,36,Rice,8.82
134,31,83,60,15,Maize,4.79
178,20,52,150,38,Maize,7.63
66,20,57,143,26,Rice,5.98
68,22,78,124,12,Rice,5.62
213,39,58,103,31,Rice,6.74
103,30,86,51,25,Wheat,4.15
54,34,95,59,16,Wheat,2.88
196,33,83,147,36,Wheat,8.4
151,28,72,101,28,Maize,5.98
241,36,89,120,18,Maize,8.49
228,32,86,43,11,Rice,6.16
122,25,91,84,21,Rice,5.92
145,25,58,102,7,Maize,5.58
224,31,70,119,36,Wheat,8.04
220,20,93,49,25,Wheat,6.51
84,32,74,58,12,Wheat,3.83
120,24,42,104,40,Rice,5.13
192,22,52,143,12,Rice,8.49
250,18,75,74,6,Maize,7.53
58,19,85,117,8,Wheat,5.05
124,20,47,42,18,Rice,4.15
83,30,58,141,20,Wheat,5.23
168,19,81,55,6,Wheat,6.02
233,32,70,73,7,Maize,7.33
175,40,66,132,5,Rice,7.27
230,30,60,58,23,Rice,6.37
80,34,94,62,36,Wheat,3.57
249,39,91,59,36,Wheat,6.39
205,31,91,92,28,Maize,7.21
240,21,52,98,27,Wheat,7.57
208,31,73,121,38,Maize,7.18
98,32,70,132,30,Wheat,5.52
87,34,62,127,12,Rice,5.15
221,28,40,146,23,Rice,8.59
221,21,75,121,19,Maize,8.45
226,23,87,95,16,Maize,7.62
235,40,65,68,37,Maize,6.41
232,27,86,62,25,Rice,7.27
150,18,63,147,15,Rice,7.98
74,26,60,123,23,Maize,5.24
91,34,76,87,32,Rice,4.25
195,31,74,147,11,Rice,8.13
190,21,70,41,20,Rice,5.55
103,39,72,139,27,Rice,5.38
186,25,46,75,22,Maize,5.49
221,38,67,143,5,Rice,8.27
62,34,93,93,14,Rice,4.16
102,27,85,52,28,Wheat,3.46
149,31,49,74,29,Maize,4.55
66,29,93,63,33,Maize,3.96
171,23,40,123,32,Maize,6.39
141,29,66,92,34,Rice,5.02
183,24,71,135,29,Rice,8.12
56,37,51,55,20,Maize,2.27
184,21,86,90,13,Maize,7.46
249,30,61,98,8,Maize,8.07
206,19,73,67,17,Maize,6.22
221,21,65,143,13,Maize,9.33
145,37,89,114,19,Wheat,6.3
108,29,46,145,30,Rice,6.25
94,36,50,116,12,Maize,4.46
114,34,86,91,28,Wheat,5.06
96,26,85,65,9,Rice,4.39
103,18,89,77,31,Wheat,4.86
110,38,85,108,10,Wheat,5.95
239,35,53,113,17,Maize,7.2
55,25,83,148,37,Rice,6.31
126,35,50,134,32,Wheat,5.43
117,20,87,95,30,Wheat,5.9
188,22,64,57,23,Maize,5.21
167,35,65,45,8,Maize,4.74
174,19,56,146,20,Wheat,8.49
57,30,81,47,34,Maize,2.36
220,24,56,98,24,Wheat,7.53
135,29,48,76,14,Rice,4.52
205,27,82,124,28,Wheat,7.92
115,40,47,87,31,Wheat,3.87
170,20,83,52,14,Rice,5.33
204,19,90,40,36,Rice,6.22
116,37,59,133,39,Maize,6.07
140,31,56,57,33,Rice,3.92
117,18,89,40,30,Rice,4.77
136,27,50,80,9,Wheat,5.41
71,19,95,148,33,Rice,6.89
105,36,60,138,16,Wheat,6.18
158,24,86,110,30,Rice,6.84
181,40,81,123,19,Wheat,6.84
185,26,87,58,32,Wheat,5.39
117,32,74,76,5,Maize,4.37
76,25,75,137,33,Wheat,6.12
83,34,62,92,27,Rice,3.57
230,26,93,109,14,Maize,8.25
134,37,42,90,26,Maize,4.17
125,23,90,75,9,Rice,5.46
99,22,64,66,18,Rice,4.05
172,32,93,139,20,Wheat,7.88
198,25,88,55,35,Wheat,6.23
236,19,48,120,15,Wheat,8.35
66,21,87,91,29,Maize,4.92
151,34,40,102,29,Maize,5.1
176,19,79,54,36,Maize,5.56
50,32,62,78,21,Wheat,3.4
122,30,45,45,24,Rice,3.61
112,34,51,86,5,Rice,4.31
64,21,71,135,8,Wheat,5.35
92,37,74,143,18,Wheat,6.07
211,40,43,127,33,Maize,7.17
226,25,58,104,9,Maize,7.69
62,33,74,58,16,Maize,3.36
138,37,70,107,27,Wheat,5.99
164,22,47,46,18,Maize,4.61
65,40,58,90,22,Rice,3.39
175,38,50,44,31,Rice,4.42
54,31,44,98,37,Wheat,2.87
68,39,44,105,34,Maize,3.37
82,30,59,93,11,Maize,3.92
196,39,68,59,33,Wheat,5.6
154,25,65,101,33,Wheat,5.76
55,22,67,101,9,Wheat,4.7
218,34,66,88,16,Maize,6.56
59,19,64,74,20,Wheat,3.51
123,23,61,65,31,Rice,4.83
69,26,93,59,23,Maize,3.89
207,38,73,61,7,Wheat,5.59
59,26,72,135,10,Rice,5.56
108,19,68,107,5,Maize,5.53
59,38,54,98,26,Maize,3.8
172,39,75,137,34,Rice,6.7
242,34,84,107,11,Rice,8.3
132,18,49,75,13,Rice,5.14
209,23,87,77,21,Wheat,6.61
103,35,74,124,29,Maize,5.33
142,26,66,65,23,Rice,4.89
90,27,89,123,27,Maize,6.16
96,18,85,108,38,Maize,5.72
244,18,50,55,22,Wheat,7.04
187,35,77,58,40,Maize,5.0
223,20,49,141,5,Maize,9.06
57,36,85,145,21,Rice,5.25
156,24,88,99,32,Rice,6.97
186,35,95,98,25,Wheat,7.04
156,23,79,75,19,Wheat,6.16
199,28,52,43,26,Maize,4.49
103,21,67,118,5,Maize,6.26
215,35,40,141,25,Rice,7.25
141,38,89,110,7,Rice,6.64
132,20,43,108,5,Maize,5.91
72,38,91,127,29,Rice,5.07
81,40,71,44,40,Wheat,2.21
155,24,55,136,25,Rice,6.96
158,20,78,61,9,Wheat,6.04
125,40,55,106,34,Rice,4.35
250,32,76,126,17,Wheat,8.73
161,40,84,56,25,Wheat,4.76
157,35,69,61,37,Wheat,4.1
209,27,90,117,14,Maize,7.88
213,19,48,145,32,Maize,8.24
96,39,58,54,32,Maize,2.88
224,18,72,58,7,Wheat,6.78
242,35,73,52,5,Wheat,5.93
97,34,92,103,33,Maize,4.82
75,34,46,52,9,Wheat,2.93
56,34,78,92,5,Rice,4.14
220,20,54,68,36,Wheat,6.11
74,39,67,112,5,Rice,4.89
129,26,90,147,11,Wheat,7.65
196,19,80,84,19,Maize,6.6
223,25,57,90,6,Wheat,7.22
234,25,75,118,32,Rice,8.88
131,19,52,84,19,Rice,5.29
116,36,42,93,18,Maize,4.54
181,37,50,134,36,Maize,6.68
179,34,48,131,35,Wheat,7.03
97,21,47,112,36,Wheat,5.3
148,22,58,103,33,Maize,5.67
58,23,68,97,21,Maize,4.41
70,21,81,140,26,Wheat,5.78
219,30,50,93,20,Maize,6.46
236,19,69,133,16,Wheat,9.18
129,34,65,41,16,Maize,3.91
195,34,77,150,7,Wheat,8.76
110,18,69,84,36,Rice,5.21
62,21,46,61,14,Maize,3.29
181,40,94,109,28,Wheat,7.09
210,25,40,76,26,Wheat,5.94
145,20,54,44,10,Rice,4.8
236,25,68,110,17,Wheat,7.8
57,28,72,93,31,Maize,4.37
140,27,42,148,31,Maize,6.76
193,30,88,74,15,Maize,6.84
231,28,69,87,39,Wheat,6.61
201,35,88,135,40,Maize,8.37
235,20,42,119,9,Rice,8.12
132,21,68,58,6,Wheat,4.48
202,37,87,122,27,Maize,8.12
232,22,44,90,25,Wheat,7.24
162,27,59,77,29,Wheat,4.91
188,35,66,94,22,Maize,6.71
221,22,62,80,29,Rice,6.46
199,36,40,103,11,Rice,6.0
199,39,89,86,21,Rice,7.02
227,37,89,72,19,Wheat,7.0
215,20,67,95,30,Wheat,7.77
115,22,88,141,6,Wheat,7.43
249,29,79,82,26,Rice,7.52
207,34,59,94,20,Wheat,6.74
56,33,84,98,31,Rice,4.41
122,20,90,123,21,Maize,7.02
106,25,54,134,34,Wheat,5.72
102,40,51,88,21,Wheat,4.33
196,31,50,137,11,Wheat,7.41
69,35,77,127,14,Maize,4.84
180,22,79,111,27,Maize,7.19
185,27,78,67,40,Rice,5.59
85,22,65,125,8,Maize,6.07
215,40,61,41,35,Maize,5.01
95,22,77,49,28,Maize,3.25
109,40,56,104,35,Maize,4.37
232,27,92,95,38,Rice,7.56
138,33,57,115,21,Maize,5.52
112,40,78,52,21,Rice,3.99
131,30,55,112,16,Wheat,6.06
120,20,87,57,20,Maize,5.05
236,25,52,148,21,Rice,8.67
126,31,70,93,8,Maize,5.82
126,23,77,131,34,Maize,6.45
199,23,47,111,10,Wheat,6.98
187,20,51,88,35,Rice,6.55
239,37,64,80,35,Wheat,6.65
133,24,61,43,17,Rice,4.41
163,34,59,116,21,Wheat,6.12
178,32,52,56,28,Wheat,4.46
158,40,85,111,12,Maize,6.21
236,30,78,140,32,Rice,9.16
168,19,93,121,21,Wheat,8.38
145,35,68,149,34,Wheat,6.66
143,38,87,94,21,Maize,5.81
250,37,49,147,35,Rice,8.11
229,18,91,48,5,Maize,7.32
58,32,51,136,18,Rice,4.91
121,29,40,146,15,Maize,5.92
66,18,71,132,25,Rice,6.07
105,23,61,89,12,Rice,4.73
164,28,63,88,25,Maize,5.6
153,36,78,67,21,Wheat,5.16
77,19,77,76,8,Wheat,4.3
92,21,52,91,36,Rice,4.62
237,31,58,97,39,Wheat,6.76
77,18,81,121,37,Maize,6.18
163,21,77,147,31,Rice,7.8
233,29,70,127,18,Rice,8.48
83,20,63,145,13,Wheat,6.49
153,27,58,106,28,Rice,5.65
76,33,88,54,39,Rice,3.35
75,32,73,126,35,Wheat,5.51
181,40,87,94,5,Wheat,6.22
207,20,60,128,24,Rice,8.46
239,18,91,77,19,Wheat,7.8
229,32,85,64,25,Rice,6.56
119,34,82,147,27,Maize,7.23
153,40,42,79,14,Rice,4.97
249,40,50,100,9,Wheat,7.37
104,22,95,98,33,Rice,5.28
51,18,79,99,34,Maize,4.54
125,24,65,116,12,Maize,6.26
174,39,67,133,13,Maize,7.59
233,32,73,70,29,Rice,6.61
89,22,86,40,5,Rice,3.85
231,27,60,118,21,Wheat,8.05
57,32,56,56,30,Rice,1.94
130,33,53,84,10,Maize,4.48
121,32,93,66,17,Rice,4.59
212,23,44,125,27,Rice,7.78
96,22,65,59,10,Wheat,4.16
